A Warnakulasuriya
AB de Villiers
AKV Tyrone
AN Hyobeom
Aadil Ali
Aaftab Alam Khan
Aaftab Limdawala
Aakarshit Gomel
Aamer Azmat
Aamer Ijaz
Aamer Ikram
Aamer Jamal
Aamer Yamin
Aamir Kaleem
Aamir Lal
Aanand Pandey
Aaqib Liaquat
Aarif Sheikh
Aarnav Patel
Aaron Beard
Aaron Cawley
Aaron Finch
Aaron Gillespie
Aaron Hardie
Aaron Johnson
Aaron Jones
Aaron Muslar
Aaron Phangiso
Aaron Thomason
Aarya Desai
Aaryan Menon
Aaryan Modi
Aasif Sheikh
Aayan Afzal Khan
Abass Gbla
Abbas Afridi
Abbas Ghani
Abbas Musa
Abdallah Jabiri
Abdoulaye Aminou
Abdul Bangalzai
Abdul Basith
Abdul Bhikari
Abdul Gaffar Saqlain
Abdul Hadi
Abdul Hakam
Abdul Halim
Abdul Hashmi
Abdul Malik
Abdul Mazid
Abdul Naser Baluch
Abdul Rahman
Abdul Rahman Bhadelia
Abdul Razak
Abdul Razzaq
Abdul Salam Khan
Abdul Samad
Abdul Shakoor
Abdul Stanikzai
Abdul Waheed
Abdul Wahid
Abdul Wasi
Abdul-Shakoor Rahimzei
Abdulla Bhoola
Abdullah Akbarjan
Abdullah Al Mamun
Abdullah Bayoumy
Abdullah Jasat
Abdullah Khan Lodhi
Abdullah Rana
Abdullah Shafique
Abdullah Shahid
Abdullah Sheikh
Abdullah Tarakhail
Abdulrahman Jimoh
Abdur Rahman Sudais
Abdur Razzak
Abdur Rehman
Abhijeet Ahuja
Abhijeet Tomar
Abhijit Venkatesh
Abhik Patwa
Abhilash Patil
Abhimanyu Easwaran
Abhimanyu Mithun
Abhimanyu Rana
Abhimanyusingh Rajput
Abhinav Manohar
Abhishek Ahuja
Abhishek Anand
Abhishek Anandakumara
Abhishek Awasthi
Abhishek Goswami
Abhishek Gupta
Abhishek Nayar
Abhishek Paradkar
Abhishek Raut
Abhishek Reddy
Abhishek Sharma
Abhishek Thakuri
Abhishek Yadav
Abhitesh Prashar
Abid Ali
Abid Mohammadi
Abid Mushtaq
Abidullah Taniwal
Abisheak Liyanaarachchi
Abishek Kheterpal
Abishek Porel
Abongile Sodumo
Abraar Khan
Abraash Khan
Abraham Amado
Abrar Bilal
Abu Hasim
Abu Hider
Abu Kamara
Abubacarr Kuyateh
Abul Farhad
Abul Hasan
Achari Sethunathan
Achira Eranga
Ackeem Auguste
Acrey Hugo
Adam Algar
Adam Berry
Adam Dennison
Adam Finch
Adam Hickey
Adam Hose
Adam Jones
Adam Khan
Adam Lyth
Adam Martel
Adam McAuley
Adam McDaid
Adam Milne
Adam Rossington
Adam Rosslee
Adam Senn
Adam Voges
Adam Wheater
Adeel Malik
Adeesha Nanayakkara
Adeesha Thilanchana
Ademola Onikoyi
Adil Amin
Adil Bhatti
Adil Butt
Adil Khan
Adil Rashid
Adit Gorawara
Aditya Garhwal
Aditya Kaushik
Aditya Panwar
Aditya Paul
Aditya Tare
Adnan Idrees
Adnan Ilyas
Adnan Mirza
Adnan Mufti
Adnan Raees
Adnan Tahir
Adrian Nicholas Lascu
Advait Dhabe
Advyth Manepalli
Afapene Ilaoa
Afaq Ahmed
Afaq Raheem
Afif Hossain
Afsar Zazai
Aftab Ahmed
Aftab Alam
Aftab Ibrahim
Aftab Kayani
Aftab Niazi
Agagyul Ahmadhel
Agha Salman
Agni Chopra
Agniv Pan
Agostinho Navicha
Agustin Husain
Agustin Rivero
Ahan Wickramasinghe
Ahillen Beadle
Ahmad Faiz
Ahmad Ramdoni
Ahmad Zia
Ahmadullah Shinwari
Ahmed Aqeel
Ahmed Bashir
Ahmed Daniyal
Ahmed Hassan
Ahmed Khan
Ahmed Patel
Ahmed Rasheed
Ahmed Raza
Ahmed Safi Abdullah
Ahmed Shehzad
Ahmer Bin Nasir
Ahmer Bin Nisar
Ahsan Abbasi
Ahsan Ali
Ahsan Hafeez
Ahsan Malik
Aich Mollah
Aidan Andrews
Aidan Brooker
Aiden Blizzard
Aiden Leo
Aiden Markram
Aime Mucyodusenge
Ainool Hafizs
Ainool Haqqiem
Ainsley Ndlovu
Aishah Chibanda
Aizaz Khan
Ajantha Mendis
Ajay Dev Goud
Ajay Lalcheta
Ajay Mandal
Ajay Mundra
Ajay Rohera
Ajaz Patel
Ajinkya Rahane
Ajith Augastin
Akalanka Ganegama
Akash Choudhary
Akash Kargave
Akash Madhwal
Akash Parkar
Akash Senaratne
Akash Singh
Akash Vasisht
Akbar Ali
Akbar Khan
Akbar Musazai
Akbar-ur-Rehman
Akeal Hosein
Akeel Inham
Akeem Dodson
Akhere Isesele
Akhil Anil
Akhil Arjunan
Akhil Herwadkar
Akhil Kumar
Akhilesh Gavde
Akhona Kula
Akif Raja
Akila Dananjaya
Akila Isanka
Akila Jayasundera
Akila Kalugala
Akram Muthalib
Akshat Pandey
Akshat Raghuwanshi
Akshay Daxini
Akshay Harikumar
Akshay Karnewar
Akshay Naidoo
Akshay Puri
Akshay Wadkar
Akshaykumar Yadav
Akshdeep Nath
Akshu Fernando
Al Bashid Muhammed
Al Islam
Al-Amin
Ala Viraliliu
Alain Toube
Alam Nakash
Alan Kirschbaum
Alankara Asanka Silva
Alastair Cook
Alauddin Babu
Albie Morkel
Alei Nao
Alejandro Ferguson
Aleksa Djorovic
Alen Magdalenic
Alessandro Morris
Alester Kadowaki Fleming
Alestin Johnmary
Alex Amsterdam
Alex Barrow
Alex Blake
Alex Bushell
Alex Carey
Alex Davies
Alex Doolan
Alex Dore
Alex Falao
Alex Hales
Alex Hepburn
Alex Horton
Alex Hughes
Alex Keath
Alex Langham
Alex Lees
Alex Mellor
Alex Obanda
Alex Osei
Alex Parsons
Alex Ross
Alex Stokoe
Alex Thomson
Alex Wakely
Alexander Busing-Volschenk
Alexander Dizija
Alexander Kok
Alexander Oxley
Alexander Senn
Alexandros Karvelas
Alexei Kervezee
Alexis Balla
Alfred Beresford-Peirse
Alfred Mothoa
Ali Abbas
Ali Ahmad
Ali Asfand
Ali Farasat
Ali Hasnain
Ali Hussain
Ali Imran
Ali Ivan
Ali Khan
Ali Majid
Ali Masood
Ali Muaaz
Ali Nadeem
Ali Naseer
Ali Nawaz
Ali Nayyer
Ali Orr
Ali Rahmon
Ali Rasool
Ali Raza
Ali Saleem
Ali Sarfraz
Ali Shafiq
Ali Shan
Ali Sheikh
Ali Turkmen
Ali Waqar
Ali Waqas
Ali Yalmaz
Ali Zaheer
Alick Athanaze
